Time,Value
1.02009,1
1.04878,513
1.06516,1537
1.08155,2561
1.09793,3585
1.11432,4609
1.1307,5633
1.15528,6145
1.16348,6145
1.17167,6145
1.17986,6145
1.18805,6145
1.19216,9217
1.20443,10241
1.22081,11265
1.2372,12289
1.25358,13313
1.26996,14337
1.28635,15361
1.30273,16385
1.31912,16385
1.32732,16385
1.33551,16385
1.3437,16385
1.35189,16385
1.356,19457
1.36827,20481
1.38465,21505
1.40104,22529
1.41742,23553
1.4338,24577
1.45019,25601
1.46657,26625
1.48296,27649
1.49934,28673
1.51572,29697
1.53211,30721
1.54849,31745
1.56488,32769
1.58126,33793
1.59764,34817
1.61403,35841
1.63041,36865
1.6468,37889
1.66318,38913
1.67956,39937
1.69595,40961
1.71233,41985
1.72872,41985
1.73692,41985
1.74511,41985
1.7533,41985
1.76149,41985
1.7656,45057
1.78607,45569
1.79426,45569
1.80245,45569
1.81064,45569
1.81884,45569
1.82703,45569
1.83522,45569
1.85161,45569
1.8598,45569
1.87212,45569
1.88031,45569
1.89262,45569
2.7861,52225
2.80709,53297
2.82807,54369
2.84859,55441
2.8691,56513
2.88962,57585
2.91013,58657
2.91108,59729
2.93112,60801
2.93207,61873
2.95211,62945
2.95305,64017
2.97262,65089
2.97357,66161
2.99314,67233
2.99408,68305
3.01365,69377
3.0146,70449
3.03417,71521
3.03511,72593
3.05468,73665
3.05563,74737
3.0752,75809
3.07614,76881
3.07709,77953
3.09619,79025
3.09713,80097
3.09808,81169
3.11717,82241
3.11812,83313
3.11906,84385
3.13816,85457
3.13911,86529
3.14005,87601
3.15915,88673
3.16009,89745
3.16104,90817
3.17966,91889
3.18061,92961
3.18155,94033
3.20018,95105
3.20112,96177
3.20207,97249
3.20302,97249
3.2207,97249
3.22117,97249
3.22164,97249
3.22212,97249
3.22307,97249
3.22355,97249
3.24123,97249
3.24169,100465
3.24264,100465
3.24359,100465
3.24407,100465
3.26174,104217
3.26269,105289
3.2641,106361
3.28226,107433
3.28368,108505
3.28509,109577
3.30325,110649
3.30419,111721
3.30561,112793
3.32376,113865
3.32471,114937
3.32612,116009
3.32707,117081
3.34475,118153
3.34569,119225
3.34711,120297
3.34805,121369
3.36574,122441
3.36668,123513
3.3681,124585
3.36904,125657
3.3872,126193
3.38767,126193
3.38815,126193
3.38862,126193
3.38909,126193
3.38956,126193
3.39003,126193
3.39051,126193
3.40772,126193
3.4082,126193
3.40867,126193
3.40913,132625
3.41008,133697
3.41102,134769
3.41196,135841
3.41291,136913
3.42871,137985
3.43248,139057
3.43342,140129
3.44923,141201
3.453,142273
3.45394,143345
3.45488,144417
3.47021,145489
3.47398,146561
3.47493,147633
3.47587,148705
3.49073,149777
3.4945,150849
3.49544,151921
3.49639,152993
3.51124,153625
3.51499,154625
3.53096,155649
3.54734,156673
3.56374,156673
3.57193,156673
3.58012,156673
3.58831,156673
