Time,Value
1.02009,0
1.02009,5360
1.06516,5360
1.06516,5896
1.08155,5896
1.08155,6432
1.09793,6432
1.09793,6968
1.11432,6968
1.11432,7504
1.1307,7504
1.1307,8040
1.17167,8040
1.17167,2072
1.19216,2072
1.19216,7504
1.22081,7504
1.22081,7542
1.2372,7542
1.2372,7580
1.25358,7580
1.25358,7617
1.26996,7617
1.26996,7654
1.28635,7654
1.28635,7691
1.30273,7691
1.30273,7728
1.33551,7728
1.33551,2072
1.356,2072
1.356,7192
1.38465,7192
1.38465,7231
1.40104,7231
1.40104,7270
1.41742,7270
1.41742,7309
1.4338,7309
1.4338,7348
1.45019,7348
1.45019,7387
1.46657,7387
1.46657,7425
1.48296,7425
1.48296,7463
1.49934,7463
1.49934,7501
1.51572,7501
1.51572,7539
1.53211,7539
1.53211,7577
1.54849,7577
1.54849,7614
1.56488,7614
1.56488,7651
1.58126,7651
1.58126,7688
1.59764,7688
1.59764,7725
1.61403,7725
1.61403,7762
1.63041,7762
1.63041,7799
1.6468,7799
1.6468,7835
1.66318,7835
1.66318,7871
1.67956,7871
1.67956,7907
1.69595,7907
1.69595,7943
1.71233,7943
1.71233,7979
1.74511,7979
1.74511,2072
1.7656,2072
1.7656,7192
1.80245,7192
1.80245,2072
1.87212,2072
1.87212,1560
1.89262,1560
1.89262,2072
2.7656,2072
2.7656,536
2.7861,536
2.7861,1072
2.80709,1072
2.80709,1608
2.82807,1608
2.82807,1786
2.84859,1786
2.84859,1946
2.8691,1946
2.8691,2093
2.88962,2093
2.88962,2230
2.91013,2230
2.91013,2358
2.91108,2358
2.91108,2479
2.93112,2479
2.93112,2594
2.93207,2594
2.93207,2704
2.95211,2704
2.95211,2810
2.97262,2810
2.97262,2912
2.99314,2912
2.99314,3010
3.01365,3010
3.01365,3105
3.03417,3105
3.03417,3197
3.05468,3197
3.05468,3286
3.0752,3286
3.0752,3373
3.07709,3373
3.07709,3458
3.09713,3458
3.09713,3541
3.11717,3541
3.11717,3622
3.11906,3622
3.11906,3701
3.13911,3701
3.13911,3778
3.15915,3778
3.15915,3854
3.17966,3854
3.17966,4288
3.22117,4288
3.22117,3752
3.22164,3752
3.22164,3216
3.28226,3216
3.28226,3752
3.28509,3752
3.28509,3828
3.30561,3828
3.30561,4288
3.36574,4288
3.36574,4824
3.36904,4824
3.36904,5360
3.38815,5360
3.38815,5293
3.38862,5293
3.38862,5762
3.38909,5762
3.38909,6231
3.38956,6231
3.38956,6700
3.39003,6700
3.39003,6667
3.39051,6667
3.39051,6633
3.40772,6633
3.40772,6600
3.4082,6600
3.4082,6566
3.40867,6566
3.40867,6533
3.40913,6533
3.40913,4020
3.43248,4020
3.43248,4288
3.453,4288
3.453,4824
3.53096,4824
3.53096,4883
3.54734,4883
3.54734,4941
3.58012,4941
3.58012,2072
3.83001,2072
3.83001,1560
3.85051,1560
3.85051,2072
4.54734,2072
4.54734,536
4.56784,536
4.56784,1072
4.58883,1072
4.58883,1608
4.60982,1608
4.60982,1786
4.63033,1786
4.63033,1946
4.65085,1946
4.65085,2093
4.67136,2093
4.67136,2230
4.69188,2230
4.69188,2358
4.73292,2358
4.73292,1608
4.73339,1608
4.73339,1536
4.95438,1536
4.95438,1723
4.9959,1723
4.9959,1187
5.05746,1187
5.05746,1072
5.07798,1072
5.07798,1187
5.0985,1187
5.0985,1429
5.11948,1429
5.11948,1630
5.16194,1630
5.16194,1094
5.24403,1094
5.24403,536
5.26454,536
5.26454,1072
5.26454,1072
5.26454,1340
5.28553,1340
5.28553,1554
5.30652,1554
5.30652,1738
5.3275,1738
5.3275,1903
5.34802,1903
5.34802,2053
5.36854,2053
5.36854,2192
5.38905,2192
5.38905,2323
5.38999,2323
5.38999,2446
5.41004,2446
5.41004,2563
5.45108,2563
5.45108,1608
5.45155,1608
5.45155,1072
5.49211,1072
5.49211,1340
5.5131,1340
5.5131,1554
5.53409,1554
5.53409,1738
5.55507,1738
5.55507,1903
5.57559,1903
5.57559,2053
5.5961,2053
5.5961,2192
5.61662,2192
5.61662,2323
5.65766,2323
5.65766,1608
5.65813,1608
5.65813,1072
5.69869,1072
5.69869,1340
5.76073,1340
5.76073,536
5.78124,536
5.78124,1072
5.78124,1072
5.78124,1340
5.80223,1340
5.80223,1554
5.82322,1554
5.82322,1738
5.84421,1738
5.84421,1903
5.86472,1903
5.86472,2053
5.88524,2053
5.88524,2192
5.90575,2192
5.90575,2323
5.9067,2323
5.9067,2446
5.92674,2446
5.92674,2563
5.92768,2563
5.92768,2675
5.94773,2675
5.94773,2782
5.94867,2782
5.94867,2885
5.96966,2885
5.96966,2984
5.99017,2984
5.99017,3080
6.01117,3080
6.01117,2323
6.03074,2323
6.03074,2502
6.03122,2502
6.03122,2323
6.03169,2323
6.03169,2144
6.03215,2144
6.03215,1072
6.07225,1072
6.07225,1340
6.09323,1340
6.09323,1554
6.11422,1554
6.11422,1738
6.13521,1738
6.13521,1903
6.17625,1903
6.17625,1072
6.21728,1072
6.21728,1340
6.23827,1340
6.23827,1554
6.25926,1554
6.25926,1738
6.28024,1738
6.28024,1903
6.32129,1903
6.32129,1072
6.36232,1072
6.36232,1340
6.3833,1340
6.3833,1554
6.40429,1554
6.40429,1738
6.42528,1738
6.42528,1903
6.62575,1903
6.62575,2053
6.68731,2053
6.68731,536
6.70784,536
6.70784,1072
6.74887,1072
6.74887,1340
6.76985,1340
6.76985,1554
6.79084,1554
6.79084,1738
6.81183,1738
6.81183,1903
6.85382,1903
6.85382,1072
6.89485,1072
6.89485,1340
6.91584,1340
6.91584,1554
6.93683,1554
6.93683,1738
6.97929,1738
6.97929,1072
7.02032,1072
7.02032,1340
7.08236,1340
7.08236,536
8.26135,536
8.26135,1072
8.32339,1072
8.32339,536
8.3439,536
8.3439,1072
8.3439,1072
8.3439,1340
8.36489,1340
8.36489,1554
8.38588,1554
8.38588,1738
8.40687,1738
8.40687,1903
8.42738,1903
8.42738,2053
8.4479,2053
8.4479,2192
8.46936,2192
8.46936,1608
8.48894,1608
8.48894,1072
8.5104,1072
8.5104,1340
8.53139,1340
8.53139,1554
8.55237,1554
8.55237,1738
8.57336,1738
8.57336,1903
8.6354,1903
8.6354,536
8.65592,536
8.65592,1072
8.69695,1072
8.69695,1340
8.71794,1340
8.71794,1554
8.73892,1554
8.73892,1738
8.75991,1738
8.75991,1903
8.80143,1903
8.80143,1072
8.90403,1072
8.90403,1340
8.92502,1340
8.92502,1554
8.98705,1554
8.98705,536
9.00757,536
9.00757,1072
9.00757,1072
9.00757,1340
9.02855,1340
9.02855,1554
9.04954,1554
9.04954,1738
9.07053,1738
9.07053,1903
9.11157,1903
9.11157,1072
9.33256,1072
9.33256,1340
9.39412,1340
9.39412,536
9.41464,536
9.41464,1072
9.41464,1072
9.41464,1340
9.43563,1340
9.43563,1554
9.45661,1554
9.45661,1738
9.4776,1738
9.4776,1903
9.49812,1903
9.49812,2053
9.5401,2053
9.5401,1072
9.58114,1072
9.58114,1340
9.60213,1340
9.60213,1554
9.62311,1554
9.62311,1738
9.6441,1738
9.6441,1903
9.66462,1903
9.66462,2053
9.70566,2053
9.70566,1072
9.74669,1072
9.74669,1340
9.76768,1340
9.76768,1554
9.78866,1554
9.78866,1738
9.80965,1738
9.80965,1903
9.83017,1903
9.83017,2053
9.85068,2053
9.85068,2192
9.8712,2192
9.8712,2323
9.87214,2323
9.87214,2446
9.89218,2446
9.89218,2563
9.89313,2563
9.89313,2675
9.93417,2675
9.93417,1608
9.93464,1608
9.93464,1072
9.9752,1072
9.9752,1340
9.99619,1340
9.99619,1554
10.0172,1554
10.0172,1738
10.0382,1738
10.0382,1903
10.0587,1903
10.0587,2053
10.0792,2053
10.0792,2192
10.1007,2192
10.1007,1608
10.1202,1608
10.1202,1072
10.1417,1072
10.1417,1340
10.1627,1340
10.1627,1554
10.1837,1554
10.1837,1738
10.2047,1738
10.2047,1903
10.2252,1903
10.2252,2053
10.2457,2053
10.2457,2192
10.2662,2192
10.2662,2323
10.2671,2323
10.2671,2446
10.2872,2446
10.2872,2563
10.2881,2563
10.2881,2675
10.3082,2675
10.3082,2782
10.3091,2782
10.3091,2885
10.3301,2885
10.3301,2984
10.3506,2984
10.3506,3080
10.3711,3080
10.3711,2323
10.3716,2323
10.3716,2502
10.3907,2502
10.3907,2323
10.3912,2323
10.3912,2144
10.3917,2144
10.3917,1072
10.4318,1072
10.4318,1340
10.4527,1340
10.4527,1554
10.4737,1554
10.4737,1738
10.4947,1738
10.4947,1903
10.5152,1903
10.5152,2053
10.5572,2053
10.5572,1072
10.5983,1072
10.5983,1340
10.6192,1340
10.6192,1554
10.6402,1554
10.6402,1738
10.6612,1738
10.6612,1903
10.6817,1903
10.6817,2053
10.7022,2053
10.7022,2192
10.7228,2192
10.7228,2323
10.7237,2323
10.7237,2446
10.7437,2446
10.7437,2563
10.7447,2563
10.7447,2675
10.7647,2675
10.7647,2782
10.7862,2782
10.7862,2323
10.8058,2323
10.8058,2502
10.8063,2502
10.8063,2323
10.8067,2323
10.8067,2144
10.8072,2144
10.8072,1072
10.8473,1072
10.8473,1340
10.8683,1340
10.8683,1554
10.8893,1554
10.8893,1738
10.9102,1738
10.9102,1903
10.9308,1903
10.9308,2053
10.9513,2053
10.9513,2192
10.9718,2192
10.9718,2323
10.9727,2323
10.9727,2446
10.9928,2446
10.9928,2563
10.9937,2563
10.9937,2675
11.0138,2675
11.0138,2782
11.0147,2782
11.0147,2885
11.0357,2885
11.0357,2984
11.0562,2984
11.0562,3080
11.0767,3080
11.0767,3173
11.0972,3173
11.0972,3263
11.1178,3263
11.1178,3351
11.1378,3351
11.1378,3436
11.1397,3436
11.1397,3519
11.1597,3519
11.1597,3600
11.1798,3600
11.1798,3679
11.2003,3679
11.2003,2680
11.2017,2680
11.2017,2412
11.2022,2412
11.2022,2144
11.2027,2144
11.2027,1876
11.2213,1876
11.2213,1072
12.1798,1072
12.1798,536
12.2003,536
12.2003,1072
12.2213,1072
12.2213,1340
12.2423,1340
12.2423,1554
12.2633,1554
12.2633,1738
12.2842,1738
12.2842,1903
12.3048,1903
12.3048,2053
12.3467,2053
12.3467,1072
12.3878,1072
12.3878,1340
12.4088,1340
12.4088,1554
12.4298,1554
12.4298,1738
12.4507,1738
12.4507,1903
12.4713,1903
12.4713,2053
12.4918,2053
12.4918,2192
12.5123,2192
12.5123,2323
12.5132,2323
12.5132,2446
12.5333,2446
12.5333,2563
12.5342,2563
12.5342,2675
12.5543,2675
12.5543,2782
12.5552,2782
12.5552,2885
12.5762,2885
12.5762,2984
12.5967,2984
12.5967,3080
12.6172,3080
12.6172,3173
12.6377,3173
12.6377,3263
12.6583,3263
12.6583,3351
12.6797,3351
12.6797,2680
12.6993,2680
12.6993,2412
12.6998,2412
12.6998,2144
12.7002,2144
12.7002,1876
12.7007,1876
12.7007,1072
12.7613,1072
12.7613,536
12.7818,536
12.7818,1072
12.7818,1072
12.7818,1340
13.0024,1340
13.0024,1554
13.0639,1554
13.0639,536
13.0844,536
13.0844,1072
13.0844,1072
