Time,Value
1.02009,1
1.02828,1
1.03648,513
1.04467,1025
1.05286,1537
1.06105,2049
1.06924,2561
1.07744,3073
1.08563,3585
1.09382,4097
1.10201,4609
1.1102,5121
1.1184,5633
1.12659,6145
1.13478,6657
1.14297,7169
1.15116,7681
1.15936,8193
1.16755,8705
1.17167,6145
1.17574,9217
1.18393,9729
1.19212,10241
1.20032,10753
1.20851,11265
1.2167,11777
1.22489,12289
1.23308,12801
1.24128,13313
1.24947,13825
1.25766,14337
1.26585,14849
1.27404,15361
1.28224,15873
1.29043,16385
1.29862,16897
1.30681,17409
1.315,17921
1.3232,18433
1.33139,18945
1.33551,16385
1.33958,19457
1.34777,19969
1.35596,20481
1.36416,20993
1.37235,21505
1.38054,22017
1.38873,22529
1.39692,23041
1.40512,23553
1.41331,24065
1.4215,24577
1.42969,25089
1.43788,25601
1.44608,26113
1.45427,26625
1.46246,27137
1.47065,27649
1.47884,28161
1.48704,28673
1.49523,29185
1.50342,29697
1.51161,30209
1.5198,30721
1.528,31233
1.53619,31745
1.54438,32257
1.55257,32769
1.56076,33281
1.56896,33793
1.57715,34305
1.58534,34817
1.59353,35329
1.60172,35841
1.60992,36353
1.61811,36865
1.6263,37377
1.63449,37889
1.64268,38401
1.65088,38913
1.65907,39425
1.66726,39937
1.67545,40449
1.68364,40961
1.69184,41473
1.70003,41985
1.70822,42497
1.71641,43009
1.7246,43521
1.7328,44033
1.74099,44545
1.74511,41985
1.74918,45057
1.75737,45569
1.76556,46081
1.77376,46593
1.78195,47105
1.79014,47617
1.79833,48129
1.80245,45569
1.80652,48641
1.81472,49153
1.82291,49665
1.8311,50177
1.83929,50689
1.85161,51201
1.8598,51713
1.87212,49665
1.88031,52225
2.7656,45569
2.7861,52225
2.7861,52761
2.80709,53297
2.80709,53833
2.80709,54369
2.82807,54905
2.82807,55441
2.84859,55977
2.84859,56513
2.8691,57049
2.8691,57585
2.88962,58121
2.88962,58657
2.88962,59193
2.91013,59729
2.91013,60265
2.91108,60801
2.91108,61337
2.93112,61873
2.93112,62409
2.93207,62945
2.93207,63481
2.93207,64017
2.95211,64553
2.95211,65089
2.95305,65625
2.95305,66161
2.97262,66697
2.97262,67233
2.97357,67769
2.97357,68305
2.99314,68841
2.99314,69377
2.99408,69913
2.99408,70449
3.01365,70985
3.01365,71521
3.0146,72057
3.0146,72593
3.03417,73129
3.03417,73665
3.03511,74201
3.03511,74737
3.05468,75273
3.05468,75809
3.05468,76345
3.05563,76881
3.05563,77417
3.0752,77953
3.0752,78489
3.07614,79025
3.07614,79561
3.07709,80097
3.07709,80633
